imo_code,name,definition,format
IMO0059,Dangerous goods technical specifications,The recognized chemical or biological name or other name currently used for the referenced dangerous goods.,an..256
IMO0060,Dangerous goods UNDG number,United Nations Dangerous Goods Identifier (UNDG) assigned by the UN Sub-Committee of Experts on the Transport of Dangerous Goods and shown in the IMO IMDG.,n4
IMO0061,Dangerous goods volume,The volume of the referenced dangerous goods.,"n..16,6"
IMO0063,Date and time of arrival - actual,"The date and time the ship arrives at a specified location, ATA.",an..35
IMO0064,Date and time of arrival - estimated,"The date and time the ship is estimated to arrive at a specified location, ETA.",an..35
IMO0065,Date and time of departure - actual,"The date and time the ship departs from a specified location, ATD.",an..35
IMO0066,Date and time of departure - estimated,"The date and time the ship is estimated to depart from a specified location, ETD.",an..35
IMO0067,Valid certificate indicator,"A ""yes/no"" indicator whether the ship has a valid certificate of the indicated type.",n1
IMO0068,Reason why ship has no valid ISSC or interim ISSC,The explanation of why the ship is not provided with a valid ISSC or a valid interim ISSC.,an..512
IMO0069,"Reason why ship has no valid ISSC or interim ISSC, coded",A coded explanation of why the ship is not provided with a valid ISSC or a valid interim ISSC.,an..3
IMO0070,"Certificate issuer flag State, coded",The code representing the country of the flag that issued the certificate.,a2
IMO0071,Certificate expiry date,The expiration date displayed on the certificate.,an..35
IMO0075,Last port of call name,The name and country of the port immediately previous to the port of arrival.,an..256
IMO0076,"Last port of call, coded",A code representing the port immediately previous to the port of arrival.,an5
IMO0077,"Measurement unit, coded","A code representing the units of measured for a referenced quantity onboard, such as crew's effects, ship's stores, and cargo.",an..3
IMO0078,Message date time,The date and time the message is sent.,an..35
IMO0082,Message sender identifier,The identifier of the party transmitting the message.,an..17
IMO0083,Master family name,The family name of the person in charge of the ship.,an..70
IMO0084,"Next port of call, coded",The port immediately subsequent to the port of departure.,an5
IMO0085,Next port of call name,The name and country of the port immediately subsequent to the port of departure.,an..256
IMO0086,Number of crew,The count of persons actually employed for duties onboard during a voyage in the working or service of a ship and included in the crew list.,n..4
IMO0087,Number of passengers,The count of persons onboard the ship who are passengers as defined by SOLAS.,n..8
IMO0088,Number of persons onboard,The total number of persons onboard the ship including crew and passengers.,n..8
IMO0089,Person in transit indicator,A “yes/no” indicator of whether the referenced person is in transit to a foreign country.,n1
IMO0091,"Person port of embarkation, coded",The code representing the port from which the referenced person embarked the ship.,an5
IMO0092,Person port of disembarkation name,The name of the port from which referenced person plans to disembark.,an..256
IMO0093,"Person port of disembarkation, coded",The code representing the port from which the referenced person plans to disembark the ship.,an5
IMO0094,Person port of embarkation name,The name of the port from which referenced person embarked.,an..256
IMO0095,Person visa number,The number assigned to the referenced person’s visa by the issuing nation.,an..70
IMO0096,"Person country of birth, coded",The code representing the referenced person’s country of birth as shown on the person’s identity document.,a2
IMO0097,Person date of birth,The referenced person’s date of birth as shown on the person’s identity document.,an..35
IMO0098,Person family name,The family name of the referenced person.,an..70
IMO0099,"Person gender, coded",A code representing the gender of the referenced person.,an..3
IMO0100,Person given name,The given name of the referenced person.,an..70
IMO0101,Person identity or travel document expiry date,The expiry date shown on the referenced person’s identity document.,an..35
IMO0102,"Person identity or travel document issuing nation, coded",A code representing the nation issuing the referenced person’s presented identity or travel document.,a2
IMO0103,Person identity or travel document number,The number assigned to the referenced person’s identity or travel document by the issuing nation.,an..70
IMO0104,"Person identity or travel document type, coded",A code representing the type of the referenced person’s presented identity or travel document.,an..3
IMO0105,"Person nationality, coded",A code representing the nationality of the referenced person as shown on the person’s identity or travel document.,a2
IMO0106,Person place of birth name,The name of the referenced person’s place of birth as shown on the person’s identity or travel document.,an..35
IMO0107,"Person type, coded","A code representing the type of a person onboard the ship, such as master, crew member or passenger.",an..3
IMO0108,"Port of arrival, coded",A code representing the port where the ship arrives.,an5
IMO0109,Port of arrival name,The name and country of the port where the ship arrives.,an..256
IMO0110,Port of call sequence number,A sequence number indicating the order of a port of call on a list.,n..5
IMO0111,"Port of departure, coded",The code representing the port from which the ship departs.,an5
IMO0112,Port of departure name,A name and country of the port from which the ship departs.,an..256
IMO0113,"Port of discharge, coded",The code representing the port of discharge for the referenced cargo.,an5
IMO0114,Port of discharge name,The name and country of the port of discharge for the referenced cargo.,an..256
IMO0115,Port of last waste delivery name,The name and country of the last port where waste of any type was delivered.,an..256
IMO0116,"Port of last waste delivery, coded",The code representing the last port where waste of any type was delivered.,an5
IMO0117,"Port of loading, coded",The code representing the port of loading for the referenced cargo.,an5
IMO0118,Port of loading name,The name and country of the port where the cargo was loaded onboard the ship.,an..256
IMO0119,Port of next waste delivery name,The name and country of the next port where the ship plans to deliver waste of any type.,an..256
IMO0120,"Port of next waste delivery, coded",The code representing the next port where the ship plans to deliver waste of any type.,an5
IMO0121,"Port of remaining waste delivery, coded",The code representing the port where the ship intends to deliver the remaining waste.,an5
IMO0122,Port of remaining waste delivery name,The name and country of the port where the ship intends to deliver the remaining waste.,an..256
IMO0123,Port period of stay,The scheduled duration of stay in the port of arrival in days.,an..35
IMO0124,Previous port facility call start date,The start date of a previous port facility call.,an..35
IMO0125,Previous port facility call end date,The end date of a previous port facility call.,an..35
IMO0126,Previous port of call name,The name and country of a previous port of call.,an..256
IMO0127,"Previous port of call, coded",A code representing a previous port of call.,an5
IMO0128,"Authenticator role, coded",A code providing the role of the person attesting to the validity of the transmitted information.,an..3
IMO0129,Certificate issuer name,"The name of the body/organization that issued the certificate (in case it is a notified body, an insurance company or other).",an..70
IMO0130,Security Plan approval indicator,"A ""yes/no"" indicator of whether the ship is provided with an approved security plan onboard.",n1
IMO0131,"Security, other matters to report",An explanation of any other security-related matters to report.,an..512
IMO0133,"Ship additional security measures, coded",A code representing a description of special or additional security measures applied in lieu of those in the security plan.,an..3
IMO0135,"Ship additional security measures, description",A description of special or additional security measures applied in lieu of those in the security plan.,an..512
IMO0136,Ship call sign,The ship’s identification used primarily for radio communications.,an..7
IMO0137,"Ship current security level, coded",A code representing the security level of the ship in the port of arrival as defined by the ISPS Code.,an..3
IMO0138,"Ship flag State, coded",A code representing the nationality of the ship shown on its IMO ship’s certificate.,a2
IMO0139,Ship gross tonnage,The gross tonnage shown on the ship's International Tonnage Certificate or other document issued by the flag State or recognized organization.,"n..14,3"
IMO0140,Ship IMO number,The ship identification number shown on its IMO ship’s certificate.,an..7
IMO0141,Ship satellite service number,The recognized mobile satellite service call number assigned to the ship by the operator and recorded in the operator's ship directory where provided.,n..14
IMO0142,Ship name,The ship’s name shown on the IMO ship’s certificates.,an..70
IMO0143,Ship net tonnage,The net tonnage shown on the ship's International Tonnage Certificate or other document issued by the Flag State or Recognized Organization.,"n..14,3"
IMO0144,Location in port,"The name of the berth, terminal or station where the ship is located in the referenced port.",an..70
IMO0145,Certificate issue date,The date the certificate was issued.,an..35
IMO0147,"Ship registry port, coded",A code representing the port of registry shown on the IMO ship certificate.,an5
IMO0148,Ship registry port name,The name and country for the Port of Registry shown on the IMO ship certificate.,an..256
IMO0149,"Ship security level in a previous port, coded",A code representing the security level of the ship in a previous port as defined by the ISPS Code.,an..3
IMO0150,"Ship security measures, coded",A code representing the security measures taken during ship-to-ship activity by the ship in lieu of the ship security procedures.,an..3
IMO0151,Ship security measures,A description of the security measures taken during ship-to-ship activity by the ship in lieu of the ship security procedures.,an..256
IMO0153,Ship stay reference number,Reference number assigned by a port authority to the stay of a ship in the port.,an..35
IMO0154,Ship stores article name,The name of the referenced ship stores article.,an..512
IMO0155,"Ship stores article, coded",A code representing the referenced ship stores article.,an..18
IMO0156,Ship stores location onboard description,A description of the location on the ship of the referenced stores article.,an..256
IMO0158,Ship stores onboard quantity,"The number, count or amount of an article of the referenced ship stores.","n..16,6"
IMO0159,Ship stores sequence number,A sequence number indicating the order of the referenced ship stores article in a list.,n..5
IMO0160,"Ship type, coded",The type of the ship.,an..4
IMO0161,"Ship-to-ship activity, coded",A code representing the ship-to-ship activity which has been carried out during the period of the last ten calls.,an..3
IMO0162,Ship-to-ship activity description,A description of the ship-to-ship activity which has been carried out during the period of the last ten calls.,an..512
IMO0163,Ship-to-ship activity end date,The end date of the ship-to-ship activity which has been carried out during the period of the last ten calls.,an..35
IMO0164,Ship-to-ship activity location name,The name and country to describe where the ship-to-ship activity has been carried out during the period of the last ten calls.,an..256
IMO0165,Ship-to-ship activity sequence number,A sequence number indicating the order of ship-to-ship activity which has been carried out during the period of the last ten calls.,n..5
IMO0166,Ship-to-ship activity start date,The start date of the ship-to-ship activity which has been carried out during the period of the last ten calls.,an..35
IMO0167,"Ship-to-ship activity location, coded",A code representing the location of the ship-to-ship activity which has been carried out during the period of the last ten calls.,an5
IMO0168,Subsequent port of call name,The name and country of a scheduled subsequent port of call.,an..256
IMO0169,"Subsequent port of call, coded",A code representing a scheduled subsequent port of call.,an5
IMO0170,Transport contract number,A reference number to identify a document evidencing a transport contract.,an..70
IMO0172,"Primary purpose of call, coded",A code representing the primary reason for the ship to enter the referenced port.,an..3
IMO0173,Waste estimated amount to be generated volume,The estimated volume of waste to be generated between notification and next port of call (m3).,"n..16,6"
IMO0174,Waste amount to be delivered volume,The volume of waste the ship plans to deliver (m3).,"n..16,6"
IMO0175,Waste amount retained volume,The volume of waste the ship plans to retain onboard (m3).,"n..16,6"
IMO0178,All waste delivery indicator,A “yes/no” indicator whether the ship is delivering all waste onboard the ship.,n1
IMO0179,Waste last delivery date,The last date when waste of any type was delivered.,an..35
IMO0180,Waste maximum dedicated storage capacity,Maximum dedicated storage capacity onboard for this type of waste in cubic metres (m3).,"n..16,6"
IMO0181,Waste reception facility point of contact,The name of the person to contact at the waste reception facility regarding ship waste delivery.,an..70
IMO0183,"Waste type, coded",A code representing the type of waste being delivered.,an..3
IMO0184,"Port facility, coded",A code representing the port facility at the port of call.,an..17
IMO0185,Port facility name,The name and country of a port facility at the port of call.,an..256
IMO0186,Dangerous goods additional information,A statement of any other information relevant to the characteristics or hazards of the referenced dangerous goods cargo item.,an..256
IMO0187,"Dangerous goods package type, coded",A code representing the package type of the referenced dangerous goods.,an..2
IMO0188,Previous port facility name,The name and country of a previous port facility called at during a previous port call.,an..256
IMO0189,"Previous port facility, coded",A code representing a previous port facility called at during a previous port call.,an..17
IMO0190,Waste description,A description of the waste being delivered.,an..256
IMO0191,Voyage number,An operator-assigned reference code for the ship's voyage.,an..17
IMO0192,"Message type, coded",Code specifying the name of a message type.,an..3
IMO0194,"Ship-to-ship activity location, latitude",The latitude (geographical coordinate) of the location of the ship-to-ship activity which has been carried out during the period of the last ten calls.,an..10
IMO0195,"Ship-to-ship activity location, longitude",The longitude (geographical coordinate) of the location of the ship-to-ship activity which has been carried out during the period of the last ten calls.,an..11
IMO0196,General declaration remarks,"Statement of any other information relevant to ship arrival, stay or departure.",an..512
IMO0197,Vehicle identification number (VIN),The alphanumeric identifier assigned by the manufacturer to identify a vehicle e.g. for tracking purposes.,an..17
IMO0198,"Dangerous goods regulation, coded","Code specifying a dangerous goods regulatory instrument, such as IMDG, IBC, etc.",an..3
IMO0200,"Certificate issue location, coded",The code representing the location where the certificate was issued.,an5
IMO0202,Re-inspection required indicator,"A ""yes/no"" indicator whether re-inspection is required.",n1
IMO0203,Visited affected area indicator,"A ""yes/no"" indicator whether the ship visited an affected area identified by the World Health Organization.",n1
IMO0204,"Port of call in affected area, coded",Port of call in an affected area as identified by the World Health Organization.,an5
IMO0205,Date of call in affected area,Date of the call in an affected area as identified by the World Health Organization.,an..35
IMO0206,Person died indicator,"A ""yes/no"" indicator whether any person died onboard during the international voyage otherwise than as a result of accident.",n1
IMO0207,Disease onboard indicator,"A ""yes/no"" indicator whether there is, or has been during the international voyage, any case of disease which you suspect to be of an infectious nature.",n1
IMO0208,Ill persons greater than expected indicator,"A ""yes/no"" indicator whether the total number of ill passengers during the international voyage has been greater than normal/expected.",n1
IMO0209,Ill persons now indicator,"A ""yes/no"" indicator whether there is any ill person onboard now.",n1
IMO0210,Medical practioner consulted indicator,"A ""yes/no"" indicator whether there is any ill person onboard now.",n1
IMO0211,Infection condition onboard indicator,"A ""yes/no"" indicator whether you are aware of any condition onboard which may lead to infection or spread of disease.",n1
IMO0212,Sanitary measure applied indicator,"A ""yes/no"" indicator whether any sanitary measure (e.g. quarantine, isolation, disinfection or decontamination) has been applied onboard.",n1
IMO0213,Sanitary measure description,Description of the sanitary measure applied.,an..256
IMO0214,"Sanitary measure, place",Place of applied sanitary measure.,an..256
IMO0215,"Sanitary measure, date",Date of applied sanitary measure.,an..35
IMO0216,Stowaway found indicator,"A ""yes/no"" indicator whether any stowaways have been found onboard. yes/no indicator whether any sanitary measure (e.g. quarantine, isolation, disinfection or decontamination) has been applied onboard.",n1
IMO0217,"Port stowaways joined ship, coded",Port where the stowaways joined the ship (if known).,an5
IMO0218,Sick animal indicator,"A ""yes/no"" indicator whether there is a sick animal or pet onboard.",n1
IMO0219,Person embarkation date and time - actual,The actual date and time when the person embarked the ship by invitation or boarded without invitation.,an..35
IMO0220,Illness,Nature of illness.,an..256
IMO0221,Symptoms onset date,Date of onset of symptoms.,an..35
IMO0222,Health status reported indicator,"A ""yes/no"" indicator that the person health status is reported to a port medical officer/radio medical services.",n1
IMO0223,"Health status, coded","A code indicating whether the person recovered, is still ill or died.",an..3
IMO0224,"Case disposition, coded","A code indicating the disposition of the case: person or body still onboard, was evacuated, or was buried at sea.",an..3
IMO0225,Location of evacuation name,The name of the port or airport to which the person was evacuated.,an..256
IMO0226,"Location of evacuation, coded",The code of the port or airport to which the person was evacuated.,an..5
IMO0227,Treatment,"Drugs, medicines or other treatment given to patient.",an..256
IMO0228,Person health details comments,Comments on the specific case in the Maritime Declaration of Health attachment.,an..256
IMO0229,Anchorage name,A name used to identify an anchorage. An anchorage is defined as an area in which vessels anchor or may anchor. (IHO Concept Register).,an..256
IMO0230,Terminal name,A name used to identify a terminal. A terminal covers that area on shore which provides buildings and constructions for the transfer of cargo or passengers from and to ships. (IHO Concept register).,an..256
IMO0231,Pilot Boarding Place name,"The name, number or description used to identify a Pilot boarding place. A Pilot boarding place is the location offshore where a pilot may board a vessel in preparation to piloting it through local waters. (IHO Concept register).",an..256
IMO0232,Berth name,"A name used to identify a berth. A berth is defined as a place, generally named or numbered, where a vessel may moor or anchor. (IHO Concept register).",an..256
IMO0233,Berth position,"A name, number or description used to identify a berth position. A berth position is a specific position within a berth where a vessel may be moored or anchored. (IHO Concept register).",an..256
IMO0234,Date and time of arrival - requested,"The date and time the ship is requested to arrive at a specified location, RTA.",an..35
IMO0235,Date and time of arrival - planned,"The date and time the ship plans to arrive at a specific location, PTA.",an..35
IMO0236,Date and time of departure - requested,"The date and time the ship is requested to depart from a specified location, RTD.",an..35
IMO0237,Date and time of departure - planned,"The date and time the ship plans to depart from a specific location, PTD.",an..35
IMO0238,Number of ill persons,Number of ill persons during the voyage.,n..4
IMO0239,Ship company street and number,The street and number of the referenced company.,an..256
IMO0240,Ship company postcode,An alphanumerical code representing the postal area of the referenced company.,an..9
IMO0241,Ship company city,The city of the referenced company.,an..35
IMO0242,Ship company country code,A code representing the country address of the referenced company.,a2
IMO0243,Ship company country sub-division name,The country sub-division of the referenced company.,an..35
IMO0244,Stowaway date and time found onboard,Date and time when the referenced stowaway was found onboard.,an..35
IMO0245,"Stowaway port facility of boarding, coded",The code representing the port facility from which the referenced stowaway boarded the ship.,an..17
IMO0246,Stowaway port facility of boarding name,The name of the port facility from which the referenced stowaway boarded the ship.,an..256
IMO0247,Stowaway berth of boarding name,The name of the berth at which the referenced stowaway boarded the ship.,an..256
IMO0248,"Stowaway country of boarding, coded",A code representing the country at which the referenced stowaway boarded the ship.,a2
IMO0250,Stowaway Intended final destination name,The name of the final destination that the stowaway intended to go to.,an..256
IMO0251,Stowaway stated reasons for boarding the ship,"Reasons stated by the stowaway for boarding the ship. Note: If the stowaway declares himself to be a refugee or an asylum seeker, this information shall be treated as confidential to the extent necessary to the security of the stowaway.",an..512
IMO0252,Stowaway name by which known,The name of the referenced stowaway by which he or she is known.,an..70
IMO0253,Stowaway claimed nationality,A code representing the nationality claimed by the stowaway.,a2
IMO0254,Person home address street and number,The street and number of the referenced person's home address.,an..256
IMO0255,Person home address postcode,An alphanumerical code representing the postal area of the referenced person's home address.,an..9
IMO0256,Person home address city,The city address of the referenced person's home address.,an..35
IMO0257,Person home address country sub-division name,The country sub-division of the referenced person's home address.,an..35
IMO0258,"Person home address country, coded",A code representing the country of the referenced person's home address.,a2
IMO0259,Person identity or travel document issue date,The issue date shown on the referenced person's identity document.,an..35
IMO0260,Stowaway photograph,Photograph of the stowaway.,Binary object
IMO0261,Stowaway physical description,A physical description of the stowaway.,an..512
IMO0262,Stowaway first spoken language,A code representing the referenced stowaway's first spoken language.,a2
IMO0263,Stowaway first reading language,A code representing the referenced stowaway's first reading language.,a2
IMO0264,Stowaway first written language,A code representing the referenced stowaway's first written language.,a2
IMO0265,Stowaway other spoken language,A code representing another language spoken by the referenced stowaway.,a2
IMO0266,Stowaway other read language,A code representing another language read by the referenced stowaway.,a2
IMO0267,Stowaway other written language,A code representing another language written by the referenced stowaway.,a2
IMO0268,Stowaway method of boarding,"Method of boarding, including other persons involved (e.g. crew, port workers, etc.) and whether the stowaway was secreted in cargo/container or hidden in the ship.",an..512
IMO0269,Stowaway possessions,Inventory of the stowaway’s possessions.,an..512
IMO0270,Stowaway statement,Statement made by the stowaway.,an..512
IMO0271,Stowaway Master statement,Statement made by the Master (including any observations on the credibility of the information provided by the stowaway).,an..512
IMO0272,Care provided to the stowaway,"Care provided to the stowaway (first aid, clothing, food).",an..512
IMO0273,Stowaway interview date,Date of interview of the stowaway.,an..35
IMO0274,"Ship satellite service provider, coded",The ships recognized mobile satellite service provider.,an..3
IMO0275,Message receiver identifier,"The identifier of the party receiving the message (the system). Identification of specific receiver the message is intended for. This field should include  the possibility of ""any"" or ""all"" to identify a message that have no special receiver.",an..17
IMO0276,Message validity period,"Validity period of the message after it is sent. After this period, the client and server should cancel any outstanding actions at this point, and if appropriate, restart the request sequence.",an..35
IMO0277,Message identifier,The identifier of a message. Used for asynchronous error messages or acknowledgements related to this message.,an..70
IMO0278,Message return contact point,"Address to which acknowledgements shall be delivered. This can be for instance an URI, and e-mail address.  If the ship chooses to poll the server, no text is given.",an..256
IMO0279,"Type of message return contact point method, coded",This code represents the method by which the client wants to get the replies from the server.,an..3
IMO0280,Reference message identifier,The reference to the client's message to which the message is providing a response.,an..70
IMO0281,"Message status, coded",This code represents the status of received message.,an..3
IMO0282,Message status description,A description of the details of why a message failed to be accepted.,an..256
IMO0283,"Service request status, coded","This code represents the status of the service request that the server returns to the client in acknowledgement and response to the request, e.g. error in data, port call denied, port call in progress, clearance successfully completed etc. If there are errors, a more specific error response information is given in the service status explanation, text.",an..3
IMO0284,Service request status description,A description of the status of the service request.,an..256
IMO0285,Service name,The name of the maritime service.,an..70
IMO0286,"Service, coded",A code representing the maritime service.,an..3
IMO0287,Service provider name,The name of the party that delivers the maritime service.,an..70
IMO0288,Planned service indicator,A “yes/no” indicator whether the maritime service is scheduled prior to the port call.,n1
IMO0289,Position for the service,The berth or anchor name for the delivery of the maritime service in port.,an..256
IMO0290,Other position reference,Further position information such as berth position or bollard number.,an..256
IMO0291,Service provider contact family name,The family name of the contact in the maritime service company.,an..70
IMO0292,Service contact landline number,The landline telephone number for the maritime service company.,an..50
IMO0293,Service contact mobile number,The mobile number for the maritime service company.,an..50
IMO0294,Service contact email,The contact email address for the maritime service company.,an..50
IMO0295,Service URL,Maritime service provider end-point to the maritime service.,an..256
IMO0296,Service booking number,The service booking number given by the maritime service provider.,an..17
IMO0297,Date and time of service start - estimated,"The date and time a service provider estimates a specified maritime service will start, ETS.",an..35
IMO0298,Date and time of service start - requested,"The date and time a ship requests a service provider to start a specified maritime service, RTS.",an..35
IMO0299,Date and time of service start - planned,"The date and time a service provider plans to start a specified service, PTS.",an..35
IMO0300,Date and time of service start - actual,"The date and time a maritime service provider starts a specified service, ATS.",an..35
IMO0301,Date and time of service completion - estimated,"The date and time a service provider estimates a specified maritime service will be completed, ETC.",an..35
IMO0302,Date and time of service completion - requested,"The date and time a ship requests a service provider to complete a specified maritime service, RTC.",an..35
IMO0303,Date and time of service completion - planned,"The date and time a service provider plans to complete a specified maritime service, PTC.",an..35
IMO0304,Date and time of service completion - actual,"The date and time a service provider completes a specified maritime service, ATC.",
IMO0305,Message function code,Code providing the function of a message.,an..3
IMO0306,Certificate identifier,"The identifier of the certificate, defined by the issuing organization.",an..35
IMO0307,"Certificate type, coded",A code representing the certificate type.,an..3
IMO0308,"Certificate type acronym, coded",An acronym representing the certificate type.,an..10
IMO0309,"Certificate category, coded","Certificate categories are defined dependent on
•	the status of the referred regulation
•	the authorization of the issuing organization.",a..3
IMO0310,Certificate description,A description of the certificate.,an..256
IMO0311,"Certificate status, coded",A code representing the status of the certificate.,a1
IMO0312,Certificate status date,Date when the current status has become effective.,an..35
IMO0313,Active certificate sequence number,A sequence number assigned to the active certificate if there is more than one certificate of the same type. This number is defined by the certificate issuer.,n..5
IMO0314,"Certificate issuer type, coded",Type of organization that has issued the certificate.,n2
IMO0315,Certificate issuer flag State name,The name of the entity within the flag State authorized to issue the certificate.,an..70
IMO0316,Certificate issuer identifier,The identifier representing the body/organization that issued the certificate (in case it is a RO/RSO/Class).,an..17
IMO0317,"Certificate validity type, coded",A code to indicate the type of validity of the certificate.,a1
IMO0318,Certificate special condition,"To indicate which provisions covered by the certificate an exemption or special condition it has been issued for, if applicable.",an..256
IMO0319,Certificate extended until date,The date until which the validity of the certificate has been extended.,an..35
IMO0320,Certificate last endorsement date,The date when the certificate was last endorsed.,an..35
IMO0321,"Company ISM certificate ship type, coded",Ship type(s) authorized under the company ISM certificate.,an2
IMO0322,"Ship reporting system, coded",A code representing the mandatory reporting system name reporting to.,an..3
IMO0323,Coastal station name,The coastal station receiving the ship report.,an…70
IMO0324,"Ship reporting system for relay, coded",Identification of another reporting system to which the ship report must be relayed.,an..17
IMO0325,"Report type, coded",A code representing the type of report sent to the ship reporting system.,an2
IMO0326,Ship MMSI number,The unique radio identification number (ship station identity).,n9
IMO0329,"Reporting ship position, bearing",The true bearing of the ship when reporting (relative location) indicated in the 360 degrees notation from true north and shall be that of the position from the landmark.,n3
IMO0330,"Reporting ship position, distance",The current distance in nautical miles of the ship when reporting from/to a clearly identified landmark (relative location).,"n..3,1"
IMO0331,"Reporting ship position, landmark",Reference point to which the bearing and distance is estimated(relative location).,an..35
IMO0332,Course over ground,The ship current course over ground indicated in the 360 degrees notation from true north.,"n..4,1"
IMO0333,Speed over ground,The ship current speed over ground in decimal knots.,"n..4,1"
IMO0334,"Ship reporting system entry location, latitude",The latitude (geographical coordinate) of the location of the ship when entering the system.,an..10
IMO0335,"Ship reporting system entry location, longitude",The longitude (geographical coordinate) of the location of the ship when entering the system.,an..11
IMO0336,"Ship reporting system entry location, time",The date and time when the ship is entering the system.,an..35
IMO0337,"Ship reporting system entry location, bearing",The true bearing of the ship when entering the system (relative location) indicated in the 360 degrees notation from true north and shall be that of the position from the landmark.,n3
IMO0338,"Ship reporting system entry location, distance",The current distance in nautical miles of the ship from/to a clearly identified landmark when entering system (relative location).,"n..3,1"
